CustomerID,AnnualIncome_k$,SpendingScore
45,50.1,80.3
48,57.0,84.8
5,28.8,23.2
56,46.2,64.1
27,24.2,34.4
65,54.0,66.4
74,69.8,78.7
11,27.7,37.6
41,53.7,77.1
108,72.5,41.4
19,25.5,37.7
63,52.9,72.7
12,27.7,31.9
37,31.0,35.7
90,86.7,80.8
92,85.8,59.1
110,78.4,55.4
1,32.5,40.9
89,74.3,54.1
105,99.0,46.2
66,57.4,76.6
46,52.0,80.5
32,39.3,47.3
71,43.5,80.5
43,63.9,66.8
13,31.2,29.6
16,27.2,42.5
115,69.4,67.2
77,82.4,42.9
98,79.5,48.1
25,27.3,41.5
79,81.6,50.5
23,30.3,26.1
97,74.3,43.8
57,56.8,75.5
111,85.0,44.2
31,27.0,37.9
54,53.0,75.7
119,71.3,44.7
10,32.7,20.9
34,24.7,47.5
26,30.6,45.8
70,54.6,76.8
29,27.0,37.9
99,82.4,46.1
86,73.2,42.5
6,28.8,29.2
91,82.9,54.6
69,56.5,76.3
40,31.0,19.1
50,58.1,79.1
36,23.9,41.6
17,24.9,28.3
67,66.3,84.1
35,34.1,14.0
114,74.1,44.8
8,33.8,43.5
44,51.9,83.0
73,55.4,65.8
68,56.0,63.7
84,71.7,58.4
28,31.9,43.0
20,22.9,42.8
96,73.8,56.1
101,85.8,68.5
9,27.7,37.7
14,20.4,39.9
85,84.6,39.0
4,37.6,32.6
18,31.6,32.5
39,23.4,35.7
118,81.5,51.5
7,37.9,31.3
78,75.2,51.2
112,83.3,51.7
95,74.7,47.5
55,52.6,71.5
51,55.6,90.3
81,75.0,52.9
47,60.5,68.6
82,93.1,54.5
62,52.5,69.5
117,86.0,33.8
80,82.1,40.9
94,78.3,55.2
42,57.1,74.8
59,55.0,78.3
49,51.8,65.2
102,80.1,35.1
58,56.6,67.6
76,81.8,53.1
33,29.9,34.7
113,79.5,50.4
60,53.6,68.6
64,50.2,80.7
106,84.4,58.7
38,20.2,32.6
30,28.5,29.8
116,76.9,55.1
2,29.3,36.4
53,50.8,71.0
22,28.9,33.5
3,33.2,34.1
24,22.9,25.4
104,78.1,37.1
100,81.9,50.7
88,88.1,54.1
109,83.4,44.3
75,53.8,77.1
87,85.5,54.1
83,83.3,58.7
120,81.2,56.8
21,37.3,31.2
61,46.5,85.8
72,54.8,66.3
107,74.0,50.5
15,21.4,43.2
93,93.3,57.6
52,60.8,68.1
103,90.2,55.5
