StudentID,StudyHours,PreviousScore,ExamScore
1,29.4,78.0,92.5
2,15.0,83.3,85.6
3,12.9,63.7,77.0
4,24.3,64.6,89.7
5,30.2,71.3,93.6
6,19.8,83.2,87.3
7,39.3,89.6,100.0
8,29.0,79.4,95.3
9,21.8,89.9,93.7
10,18.7,73.5,88.7
11,17.0,71.1,86.2
12,30.5,72.4,92.3
13,20.4,66.0,81.0
14,7.1,89.0,73.6
15,18.9,71.9,82.2
16,30.8,79.3,93.5
17,11.4,80.2,80.1
18,11.1,78.3,81.4
19,23.6,60.1,83.5
20,23.6,94.6,96.6
21,27.2,91.7,99.0
22,34.7,67.3,94.3
23,30.4,70.2,93.0
24,26.4,78.2,82.7
25,30.3,91.6,100.0
26,16.3,94.4,90.5
27,17.7,69.0,80.7
28,13.0,79.8,81.6
29,15.3,88.2,89.6
30,27.1,73.8,89.4
31,8.2,85.6,87.4
32,20.2,65.6,84.5
33,20.1,81.0,88.5
34,22.3,90.3,93.3
35,19.9,94.4,93.4
36,15.9,62.8,75.1
37,19.9,75.0,85.6
38,36.3,67.2,96.7
39,38.0,75.8,100.0
40,22.6,79.2,91.5
41,26.8,63.3,86.0
42,9.0,70.4,71.1
43,16.1,92.5,87.9
44,19.5,79.9,92.4
45,35.3,76.0,100.0
46,13.8,86.4,86.7
47,21.9,86.0,89.6
48,39.5,61.7,96.3
49,23.2,84.8,88.7
50,26.5,89.4,95.3
51,9.2,65.8,73.0
52,33.9,87.3,100.0
53,26.1,70.0,91.8
54,24.1,70.7,83.3
55,17.0,83.3,84.3
56,15.6,63.9,74.0
57,19.6,83.3,85.3
58,28.8,91.1,99.9
59,35.6,84.4,97.5
60,22.9,75.4,90.7
61,28.4,75.3,92.1
62,25.5,86.8,95.3
63,26.9,79.8,94.4
64,28.6,63.0,86.8
65,34.5,80.4,100.0
66,7.9,88.5,81.2
67,31.7,71.8,95.9
68,13.5,92.5,87.2
69,11.8,86.3,84.8
70,25.0,80.1,92.9
71,8.3,86.3,82.0
72,36.0,62.8,91.0
73,27.0,90.1,98.9
74,30.3,88.8,98.8
75,5.6,91.8,83.1
76,25.8,64.5,80.0
77,24.5,62.9,80.3
78,10.6,64.8,75.5
79,10.4,74.0,83.5
80,29.3,74.9,95.9
81,16.2,79.7,82.7
82,29.2,64.3,84.0
83,24.4,67.0,88.6
84,18.6,88.4,90.0
85,37.4,76.4,100.0
86,34.5,88.3,100.0
87,17.5,60.3,78.2
88,6.5,79.3,85.8
89,15.7,92.6,89.6
90,18.9,80.4,86.8
91,29.7,67.2,90.3
92,39.8,85.1,100.0
93,17.5,73.3,86.2
94,31.7,83.4,97.6
95,25.8,61.0,86.9
96,29.2,82.3,97.1
97,10.3,61.1,76.3
98,19.0,86.1,90.9
99,13.4,76.6,77.7
100,17.0,64.3,75.3
