,baths,location,price,beds,area,condo
0,2,2,94.905,2,0.941,1
1,2,2,98.937,3,1.146,0
2,2,2,100.309,3,0.909,0
3,2,3,106.25,3,1.289,0
4,1,3,107.502,3,1.02,0
5,2,2,108.75,2,1.022,0
6,2,2,110.7,2,1.134,1
7,1,2,113.263,2,0.844,0
8,1,2,116.25,2,0.795,1
9,1,2,120.0,2,0.588,0
10,2,2,121.63,3,1.356,0
11,2,2,122.0,3,1.118,0
12,2,3,122.682,4,1.329,0
13,2,2,123.0,4,1.24,0
14,2,2,124.1,3,1.601,0
15,2,2,125.0,3,0.901,0
16,2,2,126.64,3,1.088,0
17,1,3,127.281,3,0.963,0
18,2,3,129.0,3,1.119,0
19,2,2,131.2,4,1.38,0
20,2,3,132.0,3,1.248,0
21,2,3,133.0,2,1.039,1
22,2,2,134.555,3,1.152,0
23,2,2,136.5,3,1.38,0
24,2,2,138.75,3,1.116,0
25,2,3,141.0,2,1.039,1
26,2,3,146.25,3,1.418,0
27,2,2,147.308,3,1.082,0
28,2,3,148.75,4,1.472,0
29,2,3,149.593,4,1.146,0
30,1,2,150.0,1,0.76,1
31,2,2,152.0,2,1.304,1
32,2,3,154.0,3,1.207,0
33,2,3,156.896,3,1.056,0
34,2,2,161.25,2,1.043,0
35,2,2,161.5,4,1.587,0
36,1,2,164.0,4,1.12,0
37,2,3,165.0,4,1.58,0
38,1,3,166.357,4,1.955,0
39,2,2,166.357,4,1.656,0
40,2,3,168.0,3,1.477,0
41,2,3,170.0,3,1.188,0
42,2,3,173.0,4,1.59,0
43,2,3,174.25,3,1.463,0
44,2,3,174.313,4,1.714,0
45,2,3,178.48,3,1.185,0
46,2,3,178.76,3,1.406,0
47,2,3,181.0,3,1.172,0
48,1,2,181.872,3,1.152,0
49,3,3,182.587,4,1.851,0
50,2,2,182.716,3,1.215,0
51,2,3,182.75,3,1.13,0
52,2,2,183.2,4,1.603,0
53,1,3,188.741,3,1.479,0
54,2,3,189.0,3,1.42,0
55,2,3,192.067,3,1.28,0
56,2,3,194.0,3,1.586,0
57,2,2,194.818,3,1.362,0
58,2,3,198.0,3,1.266,0
59,2,3,199.5,4,1.715,0
60,2,4,200.0,3,1.82,0
61,1,2,200.0,3,0.936,0
62,2,2,208.0,3,1.511,0
63,2,3,212.864,4,1.59,0
64,2,3,221.0,4,1.596,0
65,2,2,221.0,2,1.341,0
66,3,3,223.058,5,2.136,0
67,2,3,227.887,4,1.616,0
68,2,3,231.477,3,1.478,0
69,2,2,234.697,3,1.287,0
70,2,2,235.0,4,1.277,0
71,2,2,236.0,4,1.448,0
72,3,3,236.685,4,2.235,0
73,2,2,237.8,3,2.093,0
74,2,2,240.122,3,1.193,0
75,2,3,242.638,3,2.163,0
76,2,3,244.0,3,1.269,0
77,1,3,244.96,3,0.958,0
78,3,3,245.918,5,2.508,0
79,2,2,250.0,3,1.305,0
80,2,3,250.0,4,1.591,0
81,2,2,250.134,2,1.326,1
82,2,3,254.2,3,1.843,0
83,2,2,254.2,4,1.921,0
84,3,3,258.0,5,2.79,0
85,2,2,260.0,3,1.541,0
